"id_prod";"id_fam";"clave";"codigo";"descr";"cant";"uni";"inner_";"master_";"pag_catl";"precio_list";"precio_promo";"tipo";"fecha_llega";"act";"registro";"condiciones";"img";"est"
"PRD0001973";"FAM0000001";"ST376459";"7645";"Mango de hacha con cabo puntade plástico recto en 36";267;"";"0";"1";"47";182.3;182.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001974";"FAM0000001";"ST374592";"7459";"Mango de madera 12""  p/ marrorepuesto";0;"";"0";"0";"47";52.7;52.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001975";"FAM0000001";"ST374660";"7466";"Mango de madera 36  parazapapico con punta plastica";6264;"";"0";"0";"47";182.3;182.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001976";"FAM0000001";"ST374271";"7427";"Mango de madera 36  para talacho y zapapico, repuesto";1524;"";"0";"0";"47";182.3;182.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001977";"FAM0000001";"ST356833";"5683";"Manguera  industrial 1/4"" 100 ";112;"";"1";"1";"47";806.3;806.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001978";"FAM0000001";"ST356802";"5680";"Manguera de nivel 1/4 ";166;"";"1";"1";"47";630.2;630.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001979";"FAM0000001";"ST356826";"5682";"Manguera de nivel 3/8 ";161;"";"0";"0";"47";1218.8;1218.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001980";"FAM0000001";"ST356819";"5681";"Manguera de nivel 5/16 ";74;"";"1";"1";"47";1093.8;1093.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001981";"FAM0000005";"SP387523";"8752";"Manguera flexible para fregadero de 1/2  x 1/2 , 55 cm";12509;"";"1";"96";"140";86.1;86.1;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001982";"FAM0000005";"SP387592";"8759";"Manguera flexible para gas de3/8  x 3/8 , 150 cm";2198;"";"6";"48";"140";141.7;141.7;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001983";"FAM0000005";"SP388438";"8843";"Manguera flexible T-Flex de1/2  x 1/2  x 1/2 , 50 cm";7788;"";"1";"36";"140";179.2;179.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001984";"FAM0000001";"ST356536";"5653";"Manguera industrial 1""  100m ";9;"";"0";"0";"47";5625.0;5625.0;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001985";"FAM0000001";"ST356512";"5651";"Manguera industrial 1/2"" 100m ";32;"";"1";"1";"47";2437.5;2437.5;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001986";"FAM0000001";"ST356529";"5652";"Manguera industrial 3/4"" 100m ";43;"";"1";"1";"47";4354.2;4354.2;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001987";"FAM0000001";"ST356857";"5685";"Manguera industrial 3/8"" 100 m ";67;"";"1";"1";"47";2020.8;2020.8;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
"PRD0001988";"FAM0000001";"ST356840";"5684";"Manguera industrial 5/16 100 m ";82;"";"1";"1";"47";1208.3;1208.3;"Ferretero";"Checar";"";"2023-02-08 16:09:38";"";"";"A"
